"Freq [GHz]","dB(S(1,1)) []"
2,-0.646540198557389
2.02040816326531,-0.696299136084059
2.04081632653061,-0.752530436777475
2.06122448979592,-0.816357863852136
2.08163265306122,-0.88915316720882
2.10204081632653,-0.972601946372836
2.12244897959184,-1.06878993071898
2.14285714285714,-1.18031684939464
2.16326530612245,-1.31044784215463
2.18367346938776,-1.46331629519685
2.20408163265306,-1.64419757119029
2.22448979591837,-1.8598810550751
2.24489795918367,-2.11917928328188
2.26530612244898,-2.4336291368756
2.28571428571429,-2.81846325154486
2.30612244897959,-3.29396269878961
2.3265306122449,-3.8873469422493
2.3469387755102,-4.63540765270685
2.36734693877551,-5.58808706118594
2.38775510204082,-6.81276838932997
2.40816326530612,-8.39611636296715
2.42857142857143,-10.4231864310743
2.44897959183673,-12.8203713061356
2.46938775510204,-14.6782192965554
2.48979591836735,-14.1283946476474
2.51020408163265,-11.8471475108625
2.53061224489796,-9.56316689082761
2.55102040816327,-7.72275271110877
2.57142857142857,-6.29593363882508
2.59183673469388,-5.19064981480734
2.61224489795918,-4.32766588654133
2.63265306122449,-3.64715273839338
2.6530612244898,-3.10499285915742
2.6734693877551,-2.66865991422452
2.69387755102041,-2.31403077229226
2.71428571428571,-2.02307666062625
2.73469387755102,-1.7822116154285
2.75510204081633,-1.58111007604237
2.77551020408163,-1.41185657202941
2.79591836734694,-1.26833077523268
2.81632653061224,-1.14575998634328
2.83673469387755,-1.04039128440303
2.85714285714286,-0.949249645587362
2.87755102040816,-0.869958181182714
2.89795918367347,-0.800603541413042
2.91836734693878,-0.739634375981388
2.93877551020408,-0.685784155438022
2.95918367346939,-0.63801207178172
2.97959183673469,-0.595457452206947
3,-0.557404345188626
